Día,Mes,Año,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Víctimas,Fuente,,,,,,
6,1,1981,Santander,Barrancabermeja,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
7,1,1981,Huila,Algeciras,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
10,1,1981,Cesar,Valledupar,,Fuerza Pública,Policía Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
17,1,1981,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
20,1,1981,Valle del Cauca,Cali,"Sector de 'Vojes""",Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
20,1,1981, Antioquia,Puerto Berrío,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
20,1,1981,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
27,1,1981,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 2,,,,,,
31,1,1981,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Policía Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp. 3,,,,,,
6,2,1981,Tolima,Melgar,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 3,,,,,,
3,3,1981,Cauca,Santander de Quilichao,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp. 5,,,,,,
5,3,1981,Caquetá,San Vicente del Caguán,"Sitio ""Las Perlas'",Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 5,,,,,,
8,3,1981,Cundinamarca,Yacopí,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp. 5,,,,,,
18,3,1981,Cauca,Jambaló,,Grupos Paramilitares,Grupos Paramilitares,4,Itinerario de la Represión Oficial y Militar en 1981. Pp.6,,,,,,
18,3,1981,Boyacá,Tutasá,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.6,,,,,,
23,3,1981,Guaviare ,San José del Guaviare,Sitio Caño Cafre,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.7,,,,,,
24,3,1981,Caquetá,Florencia,Norcasia,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.7,,,,,,
25,3,1981,Cauca,Puerto Tejada,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.7,,,,,,
26,3,1981,Tolima,Melgar,,Fuerza Pública,Policía Nacional,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.7,,,,,,
28,3,1981,Caquetá,Florencia,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.7,,,,,,
30,3,1981,Boyacá,Otanche,,Fuerza Pública,Agentes Secretos,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.8,,,,,,
30,3,1981,Meta,San Juan de Arama,Batallón Vargas,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.8,,,,,,
8,4,1981, Antioquia,Mutatá,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.8,,,,,,
8,4,1981, Antioquia,Turbo,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.8,,,,,,
23,4,1981,Guaviare ,San José del Guaviare,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.9,,,,,,
24,4,1981,Caquetá,Albania,,Fuerza Pública,Ejército Nacional,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.9,,,,,,
24,4,1981,Caquetá,El Paujil,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.9,,,,,,
26,4,1981,Caquetá,Puerto Rico,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.9,,,,,,
27,4,1981,Caquetá,Florencia,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.9,,,,,,
29,4,1981,Santander,Santa Elena del Opón,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.9,,,,,,
4,5,1981,Caquetá,Albania,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.10,,,,,,
5,5,1981,,San Juan Bosco,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.10,,,,,,
5,5,1981,Santander,San Francisco,,Fuerza Pública,Policía Nacional,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.10,,,,,,
6,5,1981, Antioquia,,Río León,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.10,,,,,,
